"","ensembl_gene_id","hgnc_symbol"
"687","ENSG00000178828","RNF186"
"688","ENSG00000235434",""
"689","ENSG00000169914","OTUD3"
"690","ENSG00000188784","PLA2G2E"
"691","ENSG00000242688","RN7SL304P"
"692","ENSG00000188257","PLA2G2A"
"693","ENSG00000127472","PLA2G5"
"694","ENSG00000117215","PLA2G2D"
"695","ENSG00000158786","PLA2G2F"
"696","ENSG00000227066",""
"697","ENSG00000187980","PLA2G2C"
"698","ENSG00000225986","UBXN10-AS1"
"699","ENSG00000162543","UBXN10"
"700","ENSG00000228105","LINC01757"
"701","ENSG00000284710",""
"702","ENSG00000158816","VWA5B1"
"703","ENSG00000226664",""
"704","ENSG00000236963","LINC01141"
"705","ENSG00000226487",""
"706","ENSG00000284641",""
"707","ENSG00000284743",""
"708","ENSG00000162545","CAMK2N1"
"709","ENSG00000090432","MUL1"
"710","ENSG00000215520","RPS4XP4"
"711","ENSG00000183114","FAM43B"
"712","ENSG00000158825","CDA"
"713","ENSG00000158828","PINK1"
"714","ENSG00000284005","MIR6084"
"715","ENSG00000117242","PINK1-AS"
"716","ENSG00000244038","DDOST"
"717","ENSG00000117245","KIF17"
"718","ENSG00000235432",""
"719","ENSG00000189410","SH2D5"
"720","ENSG00000233069",""
"721","ENSG00000127483","HP1BP3"
"722","ENSG00000075151","EIF4G3"
"723","ENSG00000251914","RNU7-200P"
"724","ENSG00000221808","MIR1256"
"725","ENSG00000233072","RPS15AP6"
"726","ENSG00000236073",""
"727","ENSG00000235112","HSPE1P27"
"728","ENSG00000287192",""
"729","ENSG00000117298","ECE1"
"730","ENSG00000236936",""
"731","ENSG00000231105","ECE1-AS1"
"732","ENSG00000236216","PPP1R11P1"
"733","ENSG00000228823",""
"734","ENSG00000236009",""
"735","ENSG00000227001","NBPF2P"
"736","ENSG00000187952","HS6ST1P1"
"737","ENSG00000186543","CROCCP5"
"738","ENSG00000142794","NBPF3"
"739","ENSG00000176378","PFN1P10"
"740","ENSG00000162551","ALPL"
"741","ENSG00000233431","LINC02596"
"742","ENSG00000076864","RAP1GAP"
"743","ENSG00000090686","USP48"
"744","ENSG00000231978",""
"745","ENSG00000187942","LDLRAD2"
"746","ENSG00000142798","HSPG2"
"747","ENSG00000232037",""
"748","ENSG00000283234",""
"749","ENSG00000219073","CELA3B"
"750","ENSG00000285959",""
"751","ENSG00000273610","RN7SL386P"
"752","ENSG00000201919","RNU6-1022P"
"753","ENSG00000142789","CELA3A"
"754","ENSG00000278124","RN7SL186P"
"755","ENSG00000201273","RNU6-776P"
"756","ENSG00000228397","LINC01635"
"757","ENSG00000218510","LINC00339"
"758","ENSG00000070831","CDC42"
"759","ENSG00000285752","CDC42-AS1"
"760","ENSG00000285794",""
"761","ENSG00000230068","CDC42-IT1"
"762","ENSG00000271428","MPHOSPH6P1"
"763","ENSG00000162552","WNT4"
"764","ENSG00000285873",""
"765","ENSG00000266564","MIR4418"
