"","ensembl_gene_id","hgnc_symbol","logFC","logCPM","LR","PValue","FDR","1*KO_SALI -1*SALI"
"1423","ENSG00000100342","APOL1",0.170440031542835,2.35876269205957,0.205411052953391,0.65038819987864,0.997540545774586,0
"1424","ENSG00000100344","PNPLA3",0.123370392304505,1.54094224531314,0.0526469185378708,0.818519828419283,0.997540545774586,0
"1426","ENSG00000100346","CACNA1I",0.414405023842707,-0.0220395960445202,0.470907371701157,0.492570031069572,0.997540545774586,0
"1429","ENSG00000100350","FOXRED2",0.0676527050672101,5.11642808657338,0.0554607653347645,0.813819829741235,0.997540545774586,0
"1432","ENSG00000100360","IFT27",0.0880978977036911,6.90815870936364,0.196793274543722,0.657321768871537,0.997540545774586,0
"1434","ENSG00000100372","SLC25A17",-0.0771255845346362,5.55591301914353,0.146339672124608,0.702058131192519,0.997540545774586,0
"1435","ENSG00000100376","FAM118A",0.0952341090622231,5.46267488765274,0.146814814614475,0.701598010278674,0.997540545774586,0
"1436","ENSG00000100379","KCTD17",0.232431097349976,0.310264999396819,0.130520612294976,0.717892859859748,0.997540545774586,0
"1438","ENSG00000100387","RBX1",-0.0616712079414456,5.45492037462909,0.0482633187753088,0.826113262123664,0.997540545774586,0
"1440","ENSG00000100399","CHADL",-0.302364529895726,1.77394894162124,0.488766184635965,0.484478198002273,0.997540545774586,0
"1441","ENSG00000100401","RANGAP1",0.210239083190812,8.28342316397115,0.531117473197167,0.466137429130677,0.997540545774586,0
"1444","ENSG00000100416","TRMU",0.0872567686903816,8.32484706091703,0.0828265638580064,0.773502864529476,0.997540545774586,0
"1446","ENSG00000100418","DESI1",0.0492466613711046,6.12164912892881,0.0571758447529138,0.811016635308087,0.997540545774586,0
"1447","ENSG00000100422","CERK",-0.0561984278362617,6.64841812724667,0.0562661861948186,0.812497799797134,0.997540545774586,0
"1448","ENSG00000100425","BRD1",-0.106338570246977,6.20731563612326,0.111089867266617,0.738906732852807,0.997540545774586,0
"1449","ENSG00000100426","ZBED4",-0.0831587140588458,5.75872118281513,0.0623437293204958,0.80282920891373,0.997540545774586,0
"1450","ENSG00000100429","HDAC10",0.114553085904428,4.57957296045433,0.0632777704642749,0.801388344771711,0.997540545774586,0
